N;time [s];method
2048;0.00275099;trisolv_baseline
2048;0.00128534;trisolv_blas
2048;0.0647455;trisolv_mpi_isend
2048;0.185344;trisolv_mpi_onesided
2048;0.00254537;trisolv_mpi_gao
2048;0.00686531;trisolv_mpi_onesided_openmp
2048;0.00392616;trisolv_mpi_isend_openmp
2048;0.00279366;trisolv_baseline
2048;0.000482141;trisolv_blas
2048;0.00221861;trisolv_mpi_isend
2048;0.0033539;trisolv_mpi_onesided
2048;0.00122549;trisolv_mpi_gao
2048;0.00508824;trisolv_mpi_onesided_openmp
2048;0.00364135;trisolv_mpi_isend_openmp
2048;0.00276799;trisolv_baseline
2048;0.000833047;trisolv_blas
2048;0.00356052;trisolv_mpi_isend
2048;0.00504272;trisolv_mpi_onesided
2048;0.00416544;trisolv_mpi_gao
2048;0.00865225;trisolv_mpi_onesided_openmp
2048;0.00527294;trisolv_mpi_isend_openmp
2048;0.00276629;trisolv_baseline
2048;0.00065818;trisolv_blas
2048;0.00321476;trisolv_mpi_isend
2048;0.00368124;trisolv_mpi_onesided
2048;0.00175988;trisolv_mpi_gao
2048;0.00557284;trisolv_mpi_onesided_openmp
2048;0.00426666;trisolv_mpi_isend_openmp
2048;0.00271481;trisolv_baseline
2048;0.000629636;trisolv_blas
2048;0.00260187;trisolv_mpi_isend
2048;0.00371727;trisolv_mpi_onesided
2048;0.00220811;trisolv_mpi_gao
2048;0.00687784;trisolv_mpi_onesided_openmp
2048;0.00498998;trisolv_mpi_isend_openmp
2048;0.0026789;trisolv_baseline
2048;0.00046543;trisolv_blas
2048;0.00521281;trisolv_mpi_isend
2048;0.00429882;trisolv_mpi_onesided
2048;0.00160681;trisolv_mpi_gao
2048;0.00530526;trisolv_mpi_onesided_openmp
2048;0.00400416;trisolv_mpi_isend_openmp
2048;0.00265353;trisolv_baseline
2048;0.000493683;trisolv_blas
2048;0.00266088;trisolv_mpi_isend
2048;0.0035471;trisolv_mpi_onesided
2048;0.00138079;trisolv_mpi_gao
2048;0.00515602;trisolv_mpi_onesided_openmp
2048;0.0053655;trisolv_mpi_isend_openmp
2048;0.00275793;trisolv_baseline
2048;0.000496688;trisolv_blas
2048;0.00383562;trisolv_mpi_isend
2048;0.0045637;trisolv_mpi_onesided
2048;0.00219805;trisolv_mpi_gao
2048;0.00632074;trisolv_mpi_onesided_openmp
2048;0.00501816;trisolv_mpi_isend_openmp
2048;0.00277495;trisolv_baseline
2048;0.000485347;trisolv_blas
2048;0.0034038;trisolv_mpi_isend
2048;0.00371212;trisolv_mpi_onesided
2048;0.00148793;trisolv_mpi_gao
2048;0.00520589;trisolv_mpi_onesided_openmp
2048;0.00420397;trisolv_mpi_isend_openmp
2048;0.00259437;trisolv_baseline
2048;0.000469247;trisolv_blas
2048;0.0025737;trisolv_mpi_isend
2048;0.00358638;trisolv_mpi_onesided
2048;0.00241087;trisolv_mpi_gao
2048;0.00645837;trisolv_mpi_onesided_openmp
2048;0.00569545;trisolv_mpi_isend_openmp
2048;0.00230691;trisolv_baseline
2048;0.000509452;trisolv_blas
2048;0.00405733;trisolv_mpi_isend
2048;0.00503582;trisolv_mpi_onesided
2048;0.00183026;trisolv_mpi_gao
2048;0.00563758;trisolv_mpi_onesided_openmp
2048;0.0044254;trisolv_mpi_isend_openmp
2048;0.00227754;trisolv_baseline
2048;0.000535581;trisolv_blas
2048;0.00247285;trisolv_mpi_isend
2048;0.0034847;trisolv_mpi_onesided
2048;0.00135039;trisolv_mpi_gao
2048;0.00463013;trisolv_mpi_onesided_openmp
2048;0.00356217;trisolv_mpi_isend_openmp
2048;0.00231669;trisolv_baseline
2048;0.000699567;trisolv_blas
2048;0.00214448;trisolv_mpi_isend
2048;0.00522832;trisolv_mpi_onesided
2048;0.00189674;trisolv_mpi_gao
2048;0.00615503;trisolv_mpi_onesided_openmp
2048;0.0052145;trisolv_mpi_isend_openmp
2048;0.00224027;trisolv_baseline
2048;0.000450292;trisolv_blas
2048;0.0035749;trisolv_mpi_isend
2048;0.00509969;trisolv_mpi_onesided
2048;0.00197744;trisolv_mpi_gao
2048;0.0042347;trisolv_mpi_onesided_openmp
