N;time [s];method
128;0.00316659;trisolv_mpi_gao
128;0.000176232;trisolv_mpi_gao
128;0.000151926;trisolv_mpi_gao
128;0.000139974;trisolv_mpi_gao
128;0.000126779;trisolv_mpi_gao
128;0.000123232;trisolv_mpi_gao
128;0.000122801;trisolv_mpi_gao
128;0.000120978;trisolv_mpi_gao
128;0.000124124;trisolv_mpi_gao
128;0.000125706;trisolv_mpi_gao
256;0.000222288;trisolv_mpi_gao
256;0.000209254;trisolv_mpi_gao
256;0.00020728;trisolv_mpi_gao
256;0.000205858;trisolv_mpi_gao
256;0.000203453;trisolv_mpi_gao
256;0.000207591;trisolv_mpi_gao
256;0.000204175;trisolv_mpi_gao
256;0.00020146;trisolv_mpi_gao
256;0.000197202;trisolv_mpi_gao
256;0.000293483;trisolv_mpi_gao
512;0.000364656;trisolv_mpi_gao
512;0.000366089;trisolv_mpi_gao
512;0.000372121;trisolv_mpi_gao
512;0.000373784;trisolv_mpi_gao
512;0.00107916;trisolv_mpi_gao
512;0.000391887;trisolv_mpi_gao
512;0.00036651;trisolv_mpi_gao
512;0.000372972;trisolv_mpi_gao
512;0.00135333;trisolv_mpi_gao
512;0.000420602;trisolv_mpi_gao
1024;0.000719675;trisolv_mpi_gao
1024;0.000752838;trisolv_mpi_gao
1024;0.000840762;trisolv_mpi_gao
1024;0.000734803;trisolv_mpi_gao
1024;0.000698234;trisolv_mpi_gao
1024;0.000698275;trisolv_mpi_gao
1024;0.000699617;trisolv_mpi_gao
1024;0.000696491;trisolv_mpi_gao
1024;0.000698655;trisolv_mpi_gao
1024;0.000697152;trisolv_mpi_gao
2048;0.00140656;trisolv_mpi_gao
2048;0.00139725;trisolv_mpi_gao
2048;0.00138381;trisolv_mpi_gao
2048;0.00139451;trisolv_mpi_gao
2048;0.00155005;trisolv_mpi_gao
2048;0.00138083;trisolv_mpi_gao
2048;0.00140312;trisolv_mpi_gao
2048;0.00141905;trisolv_mpi_gao
2048;0.00139746;trisolv_mpi_gao
2048;0.00138379;trisolv_mpi_gao
4096;0.0027357;trisolv_mpi_gao
4096;0.00257661;trisolv_mpi_gao
4096;0.0044207;trisolv_mpi_gao
4096;0.002484;trisolv_mpi_gao
4096;0.0024734;trisolv_mpi_gao
4096;0.0025158;trisolv_mpi_gao
4096;0.00249157;trisolv_mpi_gao
4096;0.00245262;trisolv_mpi_gao
4096;0.00237905;trisolv_mpi_gao
4096;0.00251423;trisolv_mpi_gao
8192;0.00584471;trisolv_mpi_gao
8192;0.00687116;trisolv_mpi_gao
8192;0.00575199;trisolv_mpi_gao
8192;0.00561011;trisolv_mpi_gao
8192;0.00575055;trisolv_mpi_gao
8192;0.00654741;trisolv_mpi_gao
8192;0.00569883;trisolv_mpi_gao
8192;0.0056682;trisolv_mpi_gao
8192;0.00567256;trisolv_mpi_gao
8192;0.00565883;trisolv_mpi_gao
16384;0.0227217;trisolv_mpi_gao
16384;0.0164523;trisolv_mpi_gao
16384;0.0158773;trisolv_mpi_gao
16384;0.0237028;trisolv_mpi_gao
16384;0.0155716;trisolv_mpi_gao
16384;0.0155572;trisolv_mpi_gao
16384;0.0154247;trisolv_mpi_gao
16384;0.0168066;trisolv_mpi_gao
16384;0.0175552;trisolv_mpi_gao
16384;0.0159383;trisolv_mpi_gao
32768;0.0514937;trisolv_mpi_gao
32768;0.0494962;trisolv_mpi_gao
32768;0.0501163;trisolv_mpi_gao
32768;0.0466099;trisolv_mpi_gao
32768;0.0590639;trisolv_mpi_gao
32768;0.0473011;trisolv_mpi_gao
32768;0.0634663;trisolv_mpi_gao
32768;0.0464157;trisolv_mpi_gao
32768;0.0485122;trisolv_mpi_gao
32768;0.0462251;trisolv_mpi_gao
