N;time [s];method
1;2e-07;baseline
2;6e-07;baseline
4;6e-07;baseline
8;1.4e-06;baseline
16;4.5e-06;baseline
32;3.07e-05;baseline
64;6.62e-05;baseline
128;0.0002437;baseline
256;0.0007676;baseline
512;0.0030369;baseline
1024;0.0190699;baseline
2048;0.138392;baseline
1;2e-07;baseline
2;3e-07;baseline
4;7e-07;baseline
8;1e-06;baseline
16;4.4e-06;baseline
32;1.71e-05;baseline
64;5.67e-05;baseline
128;0.0002384;baseline
256;0.0006459;baseline
512;0.0032038;baseline
1024;0.020974;baseline
2048;0.106719;baseline
1;3e-07;baseline
2;2e-07;baseline
4;3e-07;baseline
8;1.1e-06;baseline
16;3.2e-06;baseline
32;1.65e-05;baseline
64;4.64e-05;baseline
128;0.000183;baseline
256;0.0006703;baseline
512;0.0037879;baseline
1024;0.0240985;baseline
2048;0.10704;baseline
1;2e-07;baseline
2;3e-07;baseline
4;8e-07;baseline
8;1.4e-06;baseline
16;4.2e-06;baseline
32;1.06e-05;baseline
64;3.98e-05;baseline
128;0.0001589;baseline
256;0.0006346;baseline
512;0.0026905;baseline
1024;0.0196818;baseline
2048;0.105854;baseline
1;2e-07;baseline
2;4e-07;baseline
4;5e-07;baseline
8;1e-06;baseline
16;3.3e-06;baseline
32;1.11e-05;baseline
64;4e-05;baseline
128;0.0001604;baseline
256;0.0007624;baseline
512;0.0036064;baseline
1024;0.021526;baseline
2048;0.105177;baseline
1;2e-07;baseline
2;3e-07;baseline
4;4e-07;baseline
8;9e-07;baseline
16;2.31e-05;baseline
32;1.1e-05;baseline
64;3.98e-05;baseline
128;0.0003139;baseline
256;0.000764;baseline
512;0.0037006;baseline
1024;0.0198518;baseline
2048;0.103489;baseline
1;2e-07;baseline
2;3e-07;baseline
4;4e-07;baseline
8;1.4e-06;baseline
16;3e-06;baseline
32;1.06e-05;baseline
64;5.88e-05;baseline
128;0.0003523;baseline
256;0.0046235;baseline
512;0.0043979;baseline
1024;0.0202612;baseline
2048;0.101515;baseline
1;1e-07;baseline
2;3e-07;baseline
4;5e-07;baseline
8;1.1e-06;baseline
16;3.9e-06;baseline
32;1.63e-05;baseline
64;4.02e-05;baseline
128;0.0002142;baseline
256;0.0007401;baseline
512;0.0027454;baseline
1024;0.0210589;baseline
2048;0.100367;baseline
1;2e-07;baseline
2;3e-07;baseline
4;5e-07;baseline
8;1.2e-06;baseline
16;3.1e-06;baseline
32;1.09e-05;baseline
64;4.05e-05;baseline
128;0.0002572;baseline
256;0.0007361;baseline
512;0.0029368;baseline
1024;0.0246577;baseline
2048;0.106808;baseline
1;2e-07;baseline
2;3e-07;baseline
4;6e-07;baseline
8;3.78e-05;baseline
16;3.3e-06;baseline
32;1.49e-05;baseline
64;7.07e-05;baseline
128;0.0001648;baseline
256;0.0008487;baseline
512;0.0031998;baseline
1024;0.0215084;baseline
2048;0.101881;baseline
